0,4076
0,29861
0,53717
0,23820
0,39945
0,22224
0,17332
0,22600
0,30409
0,11699
0,48006
0,13275
0,6728
0,8087
0,49668
0,41890
0,4110
0,9441
0,47335
0,37629
0,3591
0,22954
0,6185
1,8670
1,21767
1,41815
1,49744
1,10065
1,46613
1,20376
1,203
1,14646
1,84
1,53990
2,42452
2,27264
2,43274
2,24848
3,50166
3,47979
3,34959
3,17210
3,22144
3,1858
3,45565
3,17353
3,2330
3,42519
3,6587
3,49502
3,52855
3,53721
3,42742
3,52662
3,11044
3,10027
3,11451
3,13702
3,22237
4,40648
4,8671
4,34449
4,8991
4,43353
4,44829
4,24133
4,21512
4,26495
4,31863
4,7915
4,27958
4,52689
4,53686
4,1468
4,9224
4,1276
4,23901
4,30687
4,28544
4,35187
4,4062
4,15048
4,27110
4,7989
4,38601
4,3964
4,23224
4,47353
4,32117
4,14732
4,15155
4,47349
5,5258
5,19964
5,17304
6,12431
6,1900
6,12944
6,6654
6,23855
6,22317
6,24621
6,1051
6,8650
6,26837
6,31065
7,50470
7,7232
7,19057
7,11726
7,7527
7,29543
7,21850
7,45501
7,38873
7,52982
7,39928
7,45561
7,32948
7,30325
7,26502
7,40879
8,48199
8,11420
8,14768
8,7090
8,40002
8,46603
9,53252
9,32785
9,12847
9,45435
9,34525
9,58
9,6104
9,32895
9,28515
9,23028
9,36022
9,53154
9,37240
10,42088
10,40170
10,3537
10,54274
10,2160
10,7289
10,23138
10,45216
10,8067
10,14358
10,48491
10,26502
10,19895
11,12611
11,16288
11,10526
11,14147
11,24970
11,21789
11,21791
11,16951
11,31280
11,15893
11,31087
11,228
11,31701
11,50468
11,1410
11,41188
11,32751
11,25218
11,48861
11,15918
11,36943
11,8244
11,1686
11,10986
11,12032
11,33897
11,19230
11,30293
11,43541
11,34885
11,34343
11,20210
11,40461
11,23074
11,1515
11,33051
11,49837
11,42465
11,16160
11,43789
11,4807
11,49746
11,24229
11,21255
11,16274
11,54351
11,23901
11,38560
11,50530
11,49868
11,28230
11,15793
11,37710
11,39866
11,32906
11,13588
11,43578
11,32286
11,30879
11,8774
11,8558
11,7745
11,8991
11,36654
11,9600
11,2251
11,29245
11,8571
11,48997
11,14654
11,46738
11,16474
11,44308
11,44538
11,48791
11,16980
11,4839
11,30634
11,6311
11,18519
11,7913
11,21138
11,14263
11,47462
11,10934
11,21350
11,49858
12,51158
12,42829
12,27771
12,48855
14,50055
14,21325
14,43845
14,12656
14,16317
14,47011
14,45973
14,11044
14,412
14,52702
14,49691
14,32299
14,31407
15,52246
15,41271
16,14359
16,50275
16,12603
16,28100
16,40813
16,1807
16,37511
16,1702
16,2307
16,19866
16,46714
16,24447
16,13702
17,13696
17,614
17,2956
17,21678
17,20518
17,7866
17,17118
18,6108
18,39725
18,5467
18,34496
18,17569
18,22660
18,51567
18,44612
18,11402
18,27726
18,41856
18,11190
18,7414
18,20
18,476
18,14741
18,4505
18,31316
18,31365
18,12875
18,12674
18,27622
18,21644
18,28607
18,50704
18,53722
18,14546
18,2927
18,3940
18,4906
18,35659
18,49106
18,32213
18,6401
18,45076
18,12280
18,29050
18,17223
18,29493
18,11239
18,13752
18,22944
18,24197
18,39896
18,29061
18,1133
18,22422
18,27989
18,44009
18,30011
18,41818
18,45778
18,11238
18,31800
18,7267
18,51405
18,47823
18,42463
18,41609
18,5603
18,15243
18,17882
18,10229
18,372
18,17301
18,16445
18,29115
18,52192
18,19402
18,46075
18,34235
18,52909
18,11288
18,37761
18,6487
18,25138
18,24395
18,5431
18,28822
18,23032
18,31433
18,16047
18,26841
18,47454
18,41297
18,46998
18,11347
18,5447
18,33142
18,7786
18,28316
18,47682
18,28942
18,5693
18,7581
19,44802
19,1573
19,43240
19,34531
19,38270
19,19971
19,2443
19,19305
19,47609
19,15226
19,1251
19,49618
21,25080
21,3722
21,11085
21,8873
21,24394
21,11000
21,3162
21,12867
21,12977
21,36572
21,3890
21,103
21,14014
21,3698
21,22044
21,21464
21,50740
21,37721
21,23022
22,17846
22,19322
22,40055
22,37805
22,12509
22,8080
22,28326
22,21213
22,21898
22,3106
22,17301
22,5587
22,8101
22,17511
22,27847
22,28126
22,27660
22,48330
22,53315
22,35566
22,28391
22,51894
22,17098
22,18628
22,27251
22,32235
